app_num,main_IPC,IPC,pub_date,pub_num,app_date,priority,Int_filing,Int_pub,entry_date,initial_app_num,tech_div,IPCcount,SingleIPC,IPCcount_unique,total_applicant,collaboration_applicant,type1_company,type2_university,type3_individual,total_inventers,collaboration_inventer,if_agency,total_agents,app_year,total_claims,paid_claims,patent_status_n,nation_province_code_2,Chinese,priority_d,divisional_app,substantive_review,app_withdraw,reject,recover,decision_made,grant,waive,terminate,pub_date_c,grant_c,reject_c,subrev_withdraw_dur,app_withdraw_c,pub_grant_dur,pub_reject_dur,substantive_review_c,event,event_date,start_end_dur,age_at_subreview,age_at_event
CN00128884.9,A61K9/22,A61K9/22;A61K9/52,2002.01.16,CN1330921A,2000-09-22,2000.06.28 KR 36178/2000,NA,NA,NA,0,0,2,0,1,1,0,1,0,0,8,1,1,2,2000,11,1,2,KR,0,1,0,2001-03-14,2005-12-28,NA,NA,NA,NA,NA,NA,2002-01-16,NA,NA,57.53424658,2005-12-28,NA,NA,2001-03-14,1,2005-12-28,57.53424658,5.687671233,63.22191781
CN99814923.3,A61F2/38,A61F2/38,2002.01.16,CN1331574A,1999-12-21,1998.12.22 SE 9804492-8,PCT/SE99/02464 1999.12.21,WO00/36998 英 2000.06.29,2001.06.22,0,0,1,1,1,1,0,1,0,0,5,1,1,2,1999,15,1,2,SE,0,1,0,2002-01-16,NA,NA,NA,NA,2004-12-08,NA,2007-02-21,2002-01-16,2004-12-08,NA,NA,NA,34.75068493,NA,2002-01-16,3,2004-12-08,34.75068493,24.88767123,59.63835616
CN99814839.3,A61F13/20,A61F13/20,2002.01.16,CN1331577A,1999-12-21,"1998.12.21 US 09/217,395",PCT/US99/30721 1999.12.21,WO00/37012 英 2000.06.29,2001.06.21,0,0,1,1,1,1,0,1,0,0,2,1,1,2,1999,21,1,2,US,0,1,0,2002-02-27,2004-07-14,NA,NA,NA,NA,NA,NA,2002-01-16,NA,NA,28.5369863,2004-07-14,NA,NA,2002-02-27,1,2004-07-14,28.5369863,26.26849315,54.80547945
CN99814499.1,A23G3/30,A23G3/30;A61K9/68,2002.01.09,CN1330516A,1999-12-14,"1998.12.15 US 60/112,389;1999.04.06 US 09/286,818;1999.09.02 US 09/389,211",PCT/US99/29742 1999.12.14,WO00/35296 英 2000.06.22,2001.06.15,0,0.5,2,0,2,1,0,1,0,0,16,1,1,2,1999,39,1,2,US,0,1,0,2002-01-09,2004-07-14,NA,NA,NA,NA,NA,NA,2002-01-09,NA,NA,30.14794521,2004-07-14,NA,NA,2002-01-09,1,2004-07-14,30.14794521,24.88767123,55.03561644
CN99814310.3,A45D20/12,A45D20/12,2002.01.09,CN1330521A,1999-12-07,1998.12.08 EP 98870266.8,PCT/BE99/00160 1999.12.07,WO00/33697 法 2000.06.15,2001.06.08,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1999,8,0,2,BE,0,1,0,2002-01-09,NA,NA,NA,NA,NA,2006-09-13,NA,2002-01-09,2006-07-13,NA,NA,NA,54.11506849,NA,2002-01-09,3,2006-07-13,54.11506849,25.11780822,79.23287671
CN01121853.3,A23L1/315,A23L1/315,2002.01.09,CN1329847A,2001-06-29,2000.06.30 JP 198334/2000,NA,NA,NA,0,0,1,1,1,2,1,1,0,0,1,0,1,1,2001,12,1,2,JP,0,1,0,2001-11-21,2005-01-26,NA,NA,NA,NA,NA,NA,2002-01-09,NA,NA,38.20273973,2005-01-26,NA,NA,2001-11-21,1,2005-01-26,38.20273973,4.767123288,42.96986301
CN99814626.9,A61K7/00,A61K7/00;A61K7/48;A61K9/107,2002.01.09,CN1330532A,1999-12-14,1998.12.18 FR 98/16050,PCT/FR99/03136 1999.12.14,WO00/37027 法 2000.06.29,2001.06.18,0,0,3,0,1,1,0,1,0,0,2,1,1,2,1999,36,1,2,FR,0,1,0,2002-01-09,NA,NA,NA,NA,2005-11-16,NA,2009-02-11,2002-01-09,2005-11-16,NA,NA,NA,46.25753425,NA,2002-01-09,3,2005-11-16,46.25753425,24.88767123,71.14520548
CN99814501.7,A61F2/00,A61F2/00,2002.01.09,CN1330529A,1999-12-14,1998.12.15 MX 9810667,PCT/MX99/00039 1999.12.14,WO00/35371 西 2000.06.22,2001.06.15,0,0,1,1,1,1,0,0,1,0,1,0,1,2,1999,14,1,1,MX,0,1,0,2002-01-09,NA,NA,NA,NA,2005-06-08,NA,NA,2002-01-09,2005-06-08,NA,NA,NA,40.96438356,NA,2002-01-09,3,2005-06-08,40.96438356,24.88767123,65.85205479
CN00110572.8,A61K35/78,A61K35/78;A61P17/06,2002.01.16,CN1330929A,2000-06-27,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,1,0,1,1,2000,2,0,2,21,1,0,0,2001-05-30,NA,NA,NA,NA,2004-01-28,NA,2010-09-22,2002-01-16,2004-01-28,NA,NA,NA,24.39452055,NA,2001-05-30,3,2004-01-28,31.9890411,11.07945205,43.06849315
CN00107861.5,A01H4/00,A01H4/00,2002.01.16,CN1330862A,2000-06-27,NA,NA,NA,NA,0,0,1,1,1,1,0,1,0,0,6,1,1,2,2000,10,0,2,11,1,0,0,2001-05-02,2004-07-14,NA,NA,NA,NA,NA,NA,2002-01-16,NA,NA,38.43287671,2004-07-14,NA,NA,2001-05-02,1,2004-07-14,38.43287671,10.15890411,48.59178082
